,yad_no,view_cnt,count_train_log,count_train_label,count_test_log,total_room_cnt,wid_cd,ken_cd,lrg_cd,sml_cd,rate1,rate2,train_last_count,bus_le
0,1,1.0,0.0,1.0,30.0,129.0,f0112abf369fb03cdc5f5309300913da,072c85e1653e10c9c7dd065ad007125a,449c52ef581d5f9ef311189469a0520e,677a32689cd1ad74e867f1fbe43a3e1c,1.1,4.0,0,ビジネス
1,2,1.2857142857142858,24.0,14.0,5.0,23.0,d86102dd9c232bade9a97dccad40df48,b4d2fb4e51ea7bca80eb1270aa474a54,5c9a8f48e9df0234da012747a02d4b29,4ee16ee838dd2703cc9a1d5a535f0ced,0.7058823529411765,0.4411764705882353,20,ビジネスミドル
2,3,1.5212765957446808,180.0,94.0,30.0,167.0,46e33861f921c3e38b81998fbf283f01,572d60f0f5212aacda515ebf81fb0a3a,8a623b960557e87bd1f4edf71b6255be,ab9480fd72a44d51690ab16c4ad4d49c,0.5473684210526316,0.21052631578947367,117,観光
3,4,1.5294117647058822,50.0,34.0,17.0,144.0,46e33861f921c3e38b81998fbf283f01,107c7305a74c8dcc4f143de208bf7ec2,52c9ea83f2cfe92be54cb6bc961edf21,1cc3e1838bb0fd0fde0396130b1f82b9,0.7333333333333333,0.45,33,観光
4,5,1.6,30.0,20.0,0.0,41.0,43875109d1dab93592812c50d18270a7,75617bb07a2785a948ab1958909211f1,9ea5a911019b66ccd42f556c42a2fe2f,be1b876af18afc4deeb3081591d2a910,0.75,0.25,18,観光
5,6,1.0,2.0,1.0,3.0,9.0,8a1c0d3243bba111cbcd1ec6c692dc6d,ce83563814cff3080c8ae076f44b3020,230a892f40289e7e792aefa543c93326,e5e2f95a6c898e747f4e0da33300684f,0.9166666666666666,1.0833333333333333,2,ビジネス
6,7,1.0,22.0,2.0,0.0,14.0,46e33861f921c3e38b81998fbf283f01,107c7305a74c8dcc4f143de208bf7ec2,d153c8fd78bfad6faadf8e769e5cb314,93bb8a3bdcfb298251b12efa3067d44f,0.375,0.3125,22,ビジネス
7,8,1.0,0.0,5.0,1.0,111.0,f0112abf369fb03cdc5f5309300913da,072c85e1653e10c9c7dd065ad007125a,449c52ef581d5f9ef311189469a0520e,677a32689cd1ad74e867f1fbe43a3e1c,1.5,1.1,0,ビジネス
8,9,1.48,28.0,25.0,8.0,52.0,f0112abf369fb03cdc5f5309300913da,072c85e1653e10c9c7dd065ad007125a,bd8bc296d0c3e7e4268f40152dfff75a,a4d15da8bc58c9178349f5f1473053a8,0.9210526315789473,0.47368421052631576,17,観光
9,10,0.0,2.0,0.0,1.0,,8a1c0d3243bba111cbcd1ec6c692dc6d,94d4f7dc1971d3473e6ed039a323bf4d,ae9222bd7a657c580fd4f13b80aca0ed,dc315a13ea1ffea5389ba12cafcb54e0,0.8333333333333334,0.9166666666666666,2,0
